Paper_ID,Artcle-URI,Article-Title,Condition-Extracted-Western,Normalized-Condition-Western,MONDO-OR-HP-Term,Exact-OR-Synonym,MONDO-OR-HP-Term-URI,Comment from TEAM-Core
612,https://doi.org/10.1002/14651858.CD005062.pub4,[Intervention Review] Acupuncture for epilepsy,Epilepsy,Epilepsy,epilepsy,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0005027,
931,https://doi.org/10.1002/14651858.CD008400.pub3,[Intervention Review] Acupuncture for mumps in children,Mumps,Mumps,mumps infectious disease,Synonym - MONDO,http://purl.obolibrary.org/obo/MONDO_0000989,
447,https://doi.org/10.1016/j.jpsychires.2013.02.004,A 6-week randomized controlled trial with 4-week follow-up of acupuncture combined with paroxetine in patients with major depressive disorder,Major Depressive Disorder (MDD),Major Depressive Disorder (MDD),major depressive disorder,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0002009,
84,https://doi.org/10.1136/aim.26.2.69,A blinded randomised trial of acupuncture (manual and electroacupuncture) compared with a non-penetrating sham for the symptoms of osteoarthritis of the knee,Osteoarthritis of the knee,Knee osteoarthritis,Knee osteoarthritis,Exact - HP,http://purl.obolibrary.org/obo/HP_0005086,
1020,https://pubmed.ncbi.nlm.nih.gov/21543008.0/,"A case of aggravation of hemolytic anemia, elevated liver enzymes and low platelet count syndrome after delivery","HELLP syndrome (Hemolytic anemia, elevated liver enzymes and low platelet count syndrome)","HELLP syndrome (Hemolytic anemia, elevated liver enzymes and low platelet count syndrome)",HELLP syndrome,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0008585,
1189,https://pubmed.ncbi.nlm.nih.gov/10437262.0/,A clinical observation on coronary heart disease treated by otopuncture at heart otopoint,Coronary Heart Disease,Heart Disease,NOT FOUND,,,
1489,uri not found,A Clinical Observation on Treating Chronic Insomnia by the Combination of Acupuncture and Craniosacral Therapy,Chronic insomnia (Disorder of Initiating and Maintaining Sleep DIMS),Chronic insomnia (Disorder of Initiating and Maintaining Sleep DIMS),insomnia,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0013600,
1114,10.1134/S1047197911010054,A Clinical Observation on Treating Periarthritis of the Shoulder by Needling at Yinlingquan (SP9) Combined with Manipulation,Periarthritis of the shoulder,Periarthritis of the shoulder,periarthritis,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0006898,
1587,uri not found,"A Clinical Observation on Treating Urinary Retention Following Cervical Carcinoma Radical Operation by Acupuncture of ""Warming Waterways""",Urinary retention following cervical carcinoma radical operation,Urinary retention following cervical carcinoma radical operation,Urinary retention,Exact - HP,http://purl.obolibrary.org/obo/HP_0000016,
1635,https://doi.org/10.1016/S2005-2901(11)60005-8,"A Clinical Pilot Study Comparing Traditional Acupuncture to Combined Acupuncture for Treating Headache, Trigeminal Neuralgia and Retro-auricular Pain in Facial Palsy","Headache, Trigeminal Neuralgia (TN), Retro-auricular Pain (RAP) in Facial Palsy","Headache, Trigeminal Neuralgia (TN), Retro-auricular Pain (RAP) in Facial Palsy","Headache, trigeminal neuralgia","Exact - HP, Exact - MONDO","http://purl.obolibrary.org/obo/HP_0002315, http://purl.obolibrary.org/obo/MONDO_0008599",
1234,https://doi.org/10.1142/S0192415X0600376X,A Clinical Study of Acupuncture and SSP (Silver Spike Point) Electro-th erapy for Dry Eye Syndrome,Dry eye syndrome,Dry eye syndrome,dry eye syndrome,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0006733,
1099,https://doi.org/10.1142/S0192415X97000044,A Clinical Study on Physiological Response in Electroacupuncture Analgesia and Meperidine Analgesia for Colonoscopy,"Not specified (the paper focuses on pain relief during colonoscopy, not a specific disease or condition)","Not specified (the paper focuses on pain relief during colonoscopy, not a specific disease or condition)",,,,
1334,uri not found,A clinical study on the therapeutic effect of abdominal acupuncture in treating radicular cervical spondylosis,Radicular cervical spondylosis,cervical spondylosis,NOT FOUND,,,
1634,https://doi.org/10.1016/j.jep.2013.04.045,A clinical trial of acupuncture about time-varying treatment and points selection in primary dysmenorrhea,Primary dysmenorrhea,Primary dysmenorrhea,primary dysmenorrhea,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_1060206,
1241,uri not found,A Comparative Study Between Simple Bo's Abdominal Acupuncture and its Combination with Radiation by Electromagnetic Wave in Treating Chronic Gastritis,Chronic gastritis,Chronic gastritis,chronic gastritis,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0005001,
1119,https://doi.org/10.1142/S0192415X91000156,A Comparative Study of Diazepam and Acupuncture in Patients with Osteoarthritis Pain: A Placebo Controlled Study,Osteoarthritis (chronic cervical osteoarthritis),Osteoarthritis (chronic cervical osteoarthritis),osteoarthritis,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0005178,
1416,https://doi.org/10.1142/S0192415X84000088,"A Comparative Study of the Pain Alleviating Effect of Vibratory Stimulation, Transcutaneous Electrical Nerve Stimulation, Electroacupuncture and Placebo",Myalgia,Myalgia,Myalgia,Exact - HP,http://purl.obolibrary.org/obo/HP_0003326,
655,https://doi.org/10.1186/s12906-018-2087-y,A comparative study of three conservative treatments in patients with lumbar spinal stenosis: lumbar spinal stenosis with acupuncture and physical therapy study (LAP study),Lumbar Spinal Stenosis (LSS) with L5 root radiculopathy,Lumbar Spinal Stenosis (LSS) with L5 root radiculopathy,lumbar spinal stenosis,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0044753,
